RequisitionID,Department,JobRole,VacancyCreatedDate,TimeToFillDays,VacancyClosedDate,HireStatus
5454,Finance,Engineer,2023-12-10,18,2023-12-28,Open
5455,Sales,Executive,2023-03-15,35,2023-04-19,Filled
5456,IT,Manager,2024-09-28,45,2024-11-12,Filled
5457,Finance,Associate,2024-11-30,35,2025-01-04,Filled
5458,Finance,Analyst,2023-09-11,39,2023-10-20,Filled
5459,Sales,Executive,2023-11-28,29,2023-12-27,Open
5460,Operations,Manager,2024-02-02,49,2024-03-22,Filled
5461,IT,Executive,2023-12-11,63,2024-02-12,Filled
5462,IT,Executive,2024-08-06,57,2024-10-02,Filled
5463,Sales,Engineer,2024-10-29,55,2024-12-23,Open
5464,Operations,Engineer,2024-03-30,51,2024-05-20,Filled
5465,IT,Executive,2023-04-25,71,2023-07-05,Open
5466,IT,Manager,2023-11-09,56,2024-01-04,Filled
5467,IT,Analyst,2023-08-16,61,2023-10-16,Filled
5468,Operations,Analyst,2023-09-02,75,2023-11-16,Filled
5469,Sales,Associate,2024-06-09,28,2024-07-07,Filled
5470,IT,Associate,2024-06-11,82,2024-09-01,Filled
5471,Finance,Analyst,2024-03-02,67,2024-05-08,Filled
5472,Operations,Executive,2023-02-11,48,2023-03-31,Filled
5473,HR,Executive,2024-04-09,38,2024-05-17,Filled
5474,Sales,Engineer,2024-09-13,34,2024-10-17,Filled
5475,Finance,Engineer,2023-10-05,83,2023-12-27,Filled
5476,IT,Associate,2023-01-19,44,2023-03-04,Open
5477,HR,Analyst,2023-03-07,21,2023-03-28,Filled
5478,Sales,Executive,2023-06-16,50,2023-08-05,Open
5479,Operations,Analyst,2024-08-07,52,2024-09-28,Filled
5480,HR,Manager,2024-02-07,66,2024-04-13,Filled
5481,HR,Analyst,2024-02-13,29,2024-03-13,Filled
5482,Finance,Manager,2023-04-22,60,2023-06-21,Filled
5483,Sales,Engineer,2023-10-01,37,2023-11-07,Filled
5484,Finance,Engineer,2024-02-11,26,2024-03-08,Filled
5485,Finance,Associate,2024-01-08,58,2024-03-06,Filled
5486,IT,Analyst,2024-08-19,29,2024-09-17,Filled
5487,Operations,Analyst,2024-10-12,63,2024-12-14,Open
5488,HR,Manager,2023-02-08,35,2023-03-15,Open
5489,Sales,Engineer,2023-04-15,29,2023-05-14,Filled
5490,Operations,Manager,2023-11-20,28,2023-12-18,Filled
5491,Operations,Engineer,2024-02-18,56,2024-04-14,Open
5492,Sales,Manager,2024-03-04,29,2024-04-02,Open
5493,Operations,Engineer,2024-09-26,77,2024-12-12,Filled
5494,IT,Manager,2023-03-02,82,2023-05-23,Filled
5495,Operations,Engineer,2024-09-03,41,2024-10-14,Open
5496,IT,Manager,2023-11-03,67,2024-01-09,Open
5497,HR,Analyst,2023-12-20,66,2024-02-24,Filled
5498,HR,Associate,2024-01-28,77,2024-04-14,Filled
5499,Finance,Manager,2023-07-23,87,2023-10-18,Open
5500,IT,Associate,2023-09-15,67,2023-11-21,Open
